IPv4 Address,#VALUE!,Device,DNS Name,MAC Address,Function,Operating System,Vendor and Model,DHCP Device Class,NIC Vendor,NIC Vendor Value,Network Function,OS Fingerprint,Windows Version
10.5.50.105,010.005.050.105,10.5.50.105,0,001a070e777c,"[Operational Technology, Facilities, Physical Security, Surveillance]",[Unknown],[Arecont],0,0,0,0,0,0
10.5.50.106,010.005.050.106,10.5.50.106,0,0090c2f24bc6,"[Information Technology, Networking]",[Unknown],[JK Microsystems],0,"jk microsystems, inc.","JK MICROSYSTEMS, INC.",Network Device,"Possibly ASUS RT-N11 EZ or D-Link DI-524 WAP, or LevelOne FBR-1415TX router or PCMeasure Ethernetbox environmental monitor or Rabbit microcontroller or Sagem My du@l radio 700 Internet radio or Sensatronics EM1 environmental monitor",0
10.5.50.107,010.005.050.107,10.5.50.107,0,001a070e7905,"[Operational Technology, Facilities, Physical Security, Surveillance]",[Unknown],[Arecont],0,arecont vision,ARECONT VISION,0,0,0
10.5.50.108,010.005.050.108,10.5.50.108,0,001a07032ed0,"[Operational Technology, Facilities, Physical Security, Surveillance]",[Unknown],[Arecont],0,arecont vision,ARECONT VISION,0,0,0
10.5.50.109,010.005.050.109,10.5.50.109,0,accc8e85e84a,"[Operational Technology, Facilities, Physical Security, Surveillance, IP Camera]",[Linux],"[Axis, Axis Network Camera]",0,axis communications ab,AXIS COMMUNICATIONS AB,Linux Desktop/Server,Linux 3.2 - 4.0,0
10.5.50.110,010.005.050.110,10.5.50.110,0,1.83919E+50,[Unknown],[Unknown],[Unknown],0,unicoi systems,UNICOI SYSTEMS,0,"Novatel MiFi 2200 3G WAP or iDirect Evolution X1 satellite router or Canon imageCLASS MF4500-, MF4700-, or MF4800-series printer or Elk ELK-M1EXP Ethernet-to-serial bridge or Tripp Lite SMART1500SLT UPS, or PDUMV30HVNET or PDUMH15AT power distribution unit or TechniSat Digicorder HD S2 satellite receiver or Brother HL-5070N printer or Novatel MiFi 2200 3G WAP or Brother MFC-7820N printer or Sony FWD-40LX2F display card or Lexmark C500 printer;23/tcp Pocket CMD telnetd  ",0
10.5.50.115,010.005.050.115,WORKGROUP\\APSKSKSOIG04WWT,wwtib04.scspa.local,000bab857d92,"[Information Technology, Computer]",[Windows],[Advantech],0,"advantech technology (china) co., ltd.","ADVANTECH TECHNOLOGY (CHINA) CO., LTD.",Windows Machine,135/tcp Microsoft Windows RPC  ;5900/tcp VNC  protocol 3.8,0
10.5.50.116,010.005.050.116,wwtib04_switch.scspa.local,wwtib04_switch.scspa.local,00c0f21f5562,"[Information Technology, Networking]",[Unknown],[Transition Networks],0,transition networks,TRANSITION NETWORKS,0,0,0
10.5.50.117,010.005.050.117,wwtib04-printer.scspa.local,wwtib04-printer.scspa.local,000ee20ba893,"[Information Technology, Accessory, Printer]",[Unknown],[Unknown],0,custom engineering,CUSTOM ENGINEERING,0,Possibly Palmmicro AR1688 VoIP module or BinTec Brick-XM router or Funkwerk bintec R3000 router or BinTec BinGO! ISDN router or BinTec R3400 WAP or BinTec X4000 access router or Funkwerk Artem WI3040 WAP or Asus WL-500gP wireless broadband router or AXIS 5550 print server or Microsoft Windows 2000 SP4,0
10.5.50.118,010.005.050.118,10.5.50.118,0,00d0c9f49bbe,"[Information Technology, Networking]",[Unknown],[Advantech],0,"advantech co., ltd.","ADVANTECH CO., LTD.",Network Device,lwIP 1.4.0 lightweight TCP/IP stack or Cognex DataMan 200 ID reader (lwIP TCP/IP stack) or Philips Hue Bridge (lwIP stack v1.4.0) or Philips Hue Bridge (lwIP stack) or British Gas GS-Z3 data logger or Espressif WiFi system-on-a-chip or Milight WiFi Receiver bridge or Rigol DSG3060 signal generator or Luminary Micro ARM Evaluation Kit or m3 muvid IR 715-2 Internet radio receiver,0
10.5.50.119,010.005.050.119,10.5.50.119,0,183919001d73,[Unknown],[Unknown],[Unknown],0,unicoi systems,UNICOI SYSTEMS,0,"Novatel MiFi 2200 3G WAP or iDirect Evolution X1 satellite router or Canon imageCLASS MF4500-, MF4700-, or MF4800-series printer or Elk ELK-M1EXP Ethernet-to-serial bridge or TechniSat Digicorder HD S2 satellite receiver or Brother MFC-7820N printer or Sony FWD-40LX2F display card or Brother HL-5070N printer or Ricoh Aficio SP C210SF printer or Sony Bravia V5500-series TV or Geist RSMINI environment sensor;23/tcp Pocket CMD telnetd  ",0
10.5.50.120,010.005.050.120,10.5.50.120,0,001a070e778b,"[Operational Technology, Facilities, Physical Security, Surveillance]",[Unknown],[Arecont],0,arecont vision,ARECONT VISION,0,0,0
10.5.50.121,010.005.050.121,10.5.50.121,0,0090c2f16c86,"[Information Technology, Networking]",[Unknown],[JK Microsystems],0,"jk microsystems, inc.","JK MICROSYSTEMS, INC.",Network Device,"Possibly ASUS RT-N11 EZ or D-Link DI-524 WAP, or LevelOne FBR-1415TX router or PCMeasure Ethernetbox environmental monitor or Rabbit microcontroller or Sagem My du@l radio 700 Internet radio or Sensatronics EM1 environmental monitor",0
10.5.50.122,010.005.050.122,10.5.50.122,0,001a070e7786,"[Operational Technology, Facilities, Physical Security, Surveillance]",[Unknown],[Arecont],0,arecont vision,ARECONT VISION,0,0,0
10.5.50.123,010.005.050.123,10.5.50.123,0,001a070e7782,"[Operational Technology, Facilities, Physical Security, Surveillance]",[Unknown],[Arecont],0,arecont vision,ARECONT VISION,0,0,0
10.5.50.124,010.005.050.124,10.5.50.124,0,accc8e85e845,"[Operational Technology, Facilities, Physical Security, Surveillance, IP Camera]",[Linux],"[Axis, Axis Network Camera]",0,axis communications ab,AXIS COMMUNICATIONS AB,Linux Desktop/Server,Linux 3.2 - 4.0,0
10.5.50.125,010.005.050.125,10.5.50.125,0,1.83919E+35,[Unknown],[Unknown],[Unknown],0,unicoi systems,UNICOI SYSTEMS,0,"Novatel MiFi 2200 3G WAP or iDirect Evolution X1 satellite router or Canon imageCLASS MF4500-, MF4700-, or MF4800-series printer or Elk ELK-M1EXP Ethernet-to-serial bridge or Tripp Lite SMART1500SLT UPS, or PDUMV30HVNET or PDUMH15AT power distribution unit or TechniSat Digicorder HD S2 satellite receiver or Brother HL-5070N printer or Brother MFC-7820N printer or Sony FWD-40LX2F display card or Ricoh Aficio SP C210SF printer or Sony Bravia W5500-series TV;23/tcp Pocket CMD telnetd  ",0
10.5.50.130,010.005.050.130,WORKGROUP\\APSKSKSOIG05WWT,wwtib05.scspa.local,000bab85bb4e,"[Information Technology, Computer]",[Windows],[Advantech],0,"advantech technology (china) co., ltd.","ADVANTECH TECHNOLOGY (CHINA) CO., LTD.",Windows Machine,135/tcp Microsoft Windows RPC  ;5900/tcp VNC  protocol 3.8,0
10.5.50.131,010.005.050.131,wwtib05_switch.scspa.local,wwtib05_switch.scspa.local,00c0f21f559f,"[Information Technology, Networking]",[Unknown],[Transition Networks],0,transition networks,TRANSITION NETWORKS,0,Sony Ericsson U8i Vivaz mobile phone or D-Link DCS-3220 webcam or Cisco IP Phone 7941 or Cisco IP Phone 7942G or Cisco IP Phone 7961G or Crestron MPC-M5 AV controller or D-Link DCS-3220 or DCS-5300G webcam or Efficient Networks SpeedStream 5100 ADSL router or Hioki MEMORY HiCORDER 8855 digital oscilloscope or Tomato 1.28 (Linux 2.4.20),0
10.5.50.132,010.005.050.132,wwtib05-printer.scspa.local,wwtib05-printer.scspa.local,000ee20ba3ed,"[Information Technology, Accessory, Printer]",[Unknown],[Unknown],0,custom engineering,CUSTOM ENGINEERING,0,Possibly Palmmicro AR1688 VoIP module or BinTec Brick-XM router or Funkwerk bintec R3000 router or BinTec BinGO! ISDN router or BinTec R3400 WAP or BinTec X4000 access router or Funkwerk Artem WI3040 WAP or Asus WL-500gP wireless broadband router or AXIS 5550 print server or Microsoft Windows 2000 SP4,0
